dialogue_id,domain,question,expected_value,adaptive_rule_mem_acc,adaptive_llm_mem_acc,window_mem_acc,summary_mem_acc,retrieval_mem_acc,adaptive_rule_q_correct,adaptive_llm_q_correct,window_q_correct,summary_q_correct,retrieval_q_correct,adaptive_rule_response,adaptive_llm_response,window_response,summary_response,retrieval_response,adaptive_rule_errors,adaptive_llm_errors,window_errors,summary_errors,retrieval_errors,adaptive_rule_prompt_tokens,adaptive_llm_prompt_tokens,window_prompt_tokens,summary_prompt_tokens,retrieval_prompt_tokens
hard_dialogue_6,food_preferences,What kind of dinner should I eat tonight?,vegan,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,You should choose a vegetarian dinner option.,You should choose a vegan dinner option.,I do not know.,You should choose a vegan dinner option.,I do not know.,"[{'error_type': 'update_failure', 'key': 'diet', 'expected': 'vegan', 'got': 'vegetarian'}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]",24,20,11,20,16
hard_dialogue_7,scheduling,What time is my meeting now?,4pm,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,Your meeting is at 3pm.,Your meeting is at 3pm.,I do not know.,Your meeting is at 3pm.,Your meeting is at 10am.,"[{'error_type': 'update_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': '3pm'}]","[{'error_type': 'update_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': '3pm'}]","[{'error_type': 'slot_extraction_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': None}]","[{'error_type': 'update_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': '3pm'}]","[{'error_type': 'update_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': '10am'}]",15,23,8,19,11
hard_dialogue_8,health_constraints,What dessert would be safe for me?,peanuts,0.5,1.0,0.0,0.5,0.0,1,1,0,0,0,Choose a dessert that does not contain peanuts.,Choose a dessert that does not contain peanuts.,I do not know.,I do not know.,I do not know.,"[{'error_type': 'update_failure', 'key': 'diet', 'expected': 'vegan', 'got': 'vegetarian'}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]",24,23,9,19,14
hard_dialogue_8,health_constraints,What kind of meal should I order tonight?,vegan,0.5,1.0,0.0,0.5,0.0,0,1,0,1,0,You should choose a vegetarian dinner option.,You should choose a vegan dinner option.,I do not know.,You should choose a vegan dinner option.,I do not know.,"[{'error_type': 'update_failure', 'key': 'diet', 'expected': 'vegan', 'got': 'vegetarian'}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]",26,25,11,21,16
hard_dialogue_9,travel_preferences,What kind of seat should I choose for my flight?,window,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,1,1,0,0,1,You should choose a window seat.,You should choose a window seat.,I do not know.,I do not know.,You should choose a window seat.,"[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'hotel_type', 'expected': 'budget', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}]",[],26,34,13,24,27
hard_dialogue_9,travel_preferences,What kind of hotel should I book?,budget,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,1,1,0,1,1,You should book a budget hotel.,You should book a budget hotel.,I do not know.,You should book a budget hotel.,You should book a budget hotel.,"[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'hotel_type', 'expected': 'budget', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}]",[],22,30,9,20,23
hard_dialogue_9,travel_preferences,What coffee should I order?,decaf,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,0,1,0,1,1,I do not know.,You should order decaf coffee.,I do not know.,You should order decaf coffee.,You should order decaf coffee.,"[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'hotel_type', 'expected': 'budget', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}]",[],20,28,7,18,21
hard_dialogue_10,work_and_scheduling,Which programming language should I practice with?,python,1.0,1.0,0.0,0.5,1.0,1,1,0,0,1,You should practice with Python.,You should practice with Python.,I do not know.,I do not know.,You should practice with Python.,[],[],"[{'error_type': 'slot_extraction_failure', 'key': 'coding_language', 'expected': 'python', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'coding_language', 'expected': 'python', 'got': None}]",[],36,30,13,24,21
hard_dialogue_10,work_and_scheduling,What time is my meeting now?,4pm,1.0,1.0,0.0,0.5,1.0,1,1,0,1,1,Your meeting is at 4pm.,Your meeting is at 4pm.,I do not know.,Your meeting is at 4pm.,Your meeting is at 4pm.,[],[],"[{'error_type': 'slot_extraction_failure', 'key': 'coding_language', 'expected': 'python', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'coding_language', 'expected': 'python', 'got': None}]",[],31,25,8,19,16
hard_dialogue_11,lifestyle,What hobby-related activity should I do this weekend?,painting,0.5,1.0,0.0,0.5,0.0,0,1,0,1,0,I do not know.,You could do a painting-related activity this weekend.,I do not know.,You could do a painting-related activity this weekend.,I do not know.,"[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}]",25,35,14,25,14
hard_dialogue_11,lifestyle,What kind of dinner should I eat tonight?,vegetarian,0.5,1.0,0.0,0.5,0.0,1,1,0,0,0,You should choose a vegetarian dinner option.,You should choose a vegetarian dinner option.,I do not know.,I do not know.,I do not know.,"[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}]",22,32,11,22,11
hard_dialogue_12,food_and_health,What kind of cuisine should I choose for dinner?,italian,0.5,1.0,0.0,0.0,1.0,1,1,0,0,1,You should choose Italian cuisine.,You should choose Italian cuisine.,I do not know.,I do not know.,You should choose Italian cuisine.,"[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]",[],26,38,13,24,22
hard_dialogue_12,food_and_health,What dessert would be safe for me?,peanuts,0.5,1.0,0.0,0.0,1.0,0,1,0,0,1,I do not know.,Choose a dessert that does not contain peanuts.,I do not know.,I do not know.,Choose a dessert that does not contain peanuts.,"[{'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'allergy', 'expected': 'peanuts', 'got': None}]",[],22,34,9,20,18
hard_dialogue_13,food_preferences,What kind of dinner should I eat tonight?,vegan,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,I do not know.,You should choose a vegan dinner option.,I do not know.,You should choose a vegan dinner option.,I do not know.,"[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}]",17,20,11,20,11
hard_dialogue_14,work_lifestyle,What coffee should I order?,decaf,0.5,1.0,0.0,0.5,0.5,1,1,0,0,0,You should order decaf coffee.,You should order decaf coffee.,I do not know.,I do not know.,I do not know.,"[{'error_type': 'slot_extraction_failure', 'key': 'coding_language', 'expected': 'python', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'coding_language', 'expected': 'python', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]",19,25,7,19,11
hard_dialogue_14,work_lifestyle,Which programming language should I practice with?,python,0.5,1.0,0.0,0.5,0.5,0,1,0,1,1,I do not know.,You should practice with Python.,I do not know.,You should practice with Python.,You should practice with Python.,"[{'error_type': 'slot_extraction_failure', 'key': 'coding_language', 'expected': 'python', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'coding_language', 'expected': 'python', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]",25,31,13,25,17
hard_dialogue_15,mixed,What kind of dinner should I eat tonight?,vegetarian,0.25,0.75,0.0,0.5,0.5,0,1,0,0,0,I do not know.,You should choose a vegetarian dinner option.,I do not know.,I do not know.,I do not know.,"[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]",22,32,11,23,19
hard_dialogue_15,mixed,What kind of seat should I choose for my flight?,window,0.25,0.75,0.0,0.5,0.5,0,1,0,1,1,I do not know.,You should choose a window seat.,I do not know.,You should choose a window seat.,You should choose a window seat.,"[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]",24,34,13,25,21
hard_dialogue_15,mixed,What kind of cuisine should I choose for dinner?,italian,0.25,0.75,0.0,0.5,0.5,0,0,0,0,0,I do not know.,I do not know.,I do not know.,I do not know.,I do not know.,"[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]",24,34,13,25,21
hard_dialogue_15,mixed,What hobby-related activity should I do this weekend?,painting,0.25,0.75,0.0,0.5,0.5,1,1,0,1,1,You could do a painting-related activity this weekend.,You could do a painting-related activity this weekend.,I do not know.,You could do a painting-related activity this weekend.,You could do a painting-related activity this weekend.,"[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'hobby', 'expected': 'painting', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegetarian', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'favorite_cuisine', 'expected': 'italian', 'got': None}]",25,35,14,26,22
hard_dialogue_16,food_preferences,What kind of dinner should I eat tonight?,vegan,0.5,0.5,0.0,0.5,0.0,1,1,0,1,0,You should choose a vegan dinner option.,You should choose a vegan dinner option.,I do not know.,You should choose a vegan dinner option.,I do not know.,"[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]",17,22,11,22,16
hard_dialogue_16,food_preferences,What coffee should I order?,decaf,0.5,0.5,0.0,0.5,0.0,0,0,0,0,0,I do not know.,I do not know.,I do not know.,I do not know.,I do not know.,"[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'diet', 'expected': 'vegan', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'drink_preference', 'expected': 'decaf', 'got': None}]",13,18,7,18,12
hard_dialogue_17,scheduling,What time is my meeting now?,4pm,0.5,1.0,0.0,0.5,0.5,1,1,0,1,0,Your meeting is at 4pm.,Your meeting is at 4pm.,I do not know.,Your meeting is at 4pm.,Your meeting is at 3pm.,"[{'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}]",[],"[{'error_type': 'slot_extraction_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': None}, {'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}]","[{'error_type': 'slot_extraction_failure', 'key': 'seat_preference', 'expected': 'window', 'got': None}]","[{'error_type': 'update_failure', 'key': 'meeting_time', 'expected': '4pm', 'got': '3pm'}]",21,27,8,19,16
